날짜,SPX,VIX,KOSPI,Gold,WTI,DXY,Silver,Copper,USD/GBP,USD/CNY,USD/JPY,USD/EUR,USD/CAD
2016-01-04,2110.52303257832,15.0,2008.5755508105306,1189.5270684116701,46.77055517611623,96.0,15.980971461267949,2.505709798121952,0.75,6.8,110.0,0.88,1.3
2016-01-05,2108.4356946421835,14.137232587538428,1989.3079193334981,1179.6508821194336,46.745076741237725,96.34219422676908,15.791707722655488,2.509052318426945,5.0,6.816205107191431,110.66868328939059,5.0,5.0
2016-01-06,2122.008837436542,14.11359295208823,1988.99877768169,1174.1651030413034,46.303862574501686,96.0161029769901,16.02669829736773,2.502971364628638,5.0,6.79363799010767,110.83117344117305,5.0,5.0
2016-01-07,2153.220913160492,13.119283422983877,1989.799757086062,1165.9432960581416,46.156698924539036,95.88303118592347,15.648571274456732,2.49728563144441,5.0,6.814798118285812,111.65962657143146,5.0,5.0
2016-01-08,2149.1403848940276,12.901376957376122,2000.858143030297,1161.2522265116074,46.783808073752404,95.60668003168243,15.585187292989012,2.560882536688181,5.0,6.821660831494838,110.81307040412294,5.0,5.0
2016-01-11,2145.0679229629977,10.315886109076638,1970.2444045202583,1159.5106076332042,47.917313588237946,95.68975545452183,15.578244062748833,2.5846879135342538,5.0,6.806425373425024,110.95908282391511,5.0,5.0
2016-01-12,2177.7579404241346,11.020032364682214,1983.8735584062276,1166.986367570655,48.43772255520937,96.31454961116235,15.582602782775078,2.6576975545722687,5.0,6.820720374179509,111.0711537919438,5.0,5.0
2016-01-13,2194.2414706165973,11.37083895949144,1923.4318626622678,1164.292161877991,48.53468291278605,95.9427375403685,15.619274905665899,2.6430377356831327,5.0,6.809309538472505,110.57218233112161,5.0,5.0
2016-01-14,2185.204145576698,10.476664064914583,1910.0759234374568,1150.4753250773276,49.91254016784779,96.46429303844533,15.740639544160823,2.640805999467669,5.0,6.824754091529045,110.83625261869226,5.0,5.0
2016-01-15,2197.1007702681295,11.841699364317462,1899.8797619193026,1160.5272011102495,49.621415866090544,96.08417114150299,15.734867031019432,2.601231306545786,5.0,6.819648091563786,110.06284875471702,5.0,5.0
2016-01-18,2188.1774096488925,13.555969602541426,1913.9002360130046,1153.3217673995616,50.592105502670485,95.67867411242449,15.663151701867992,2.577662649809483,5.0,6.785628908593374,109.71512810428969,5.0,5.0
2016-01-19,2179.24248565386,11.366831325860893,1914.7711035828302,1152.9471257166556,50.320703641252905,96.11439793934761,15.583962284355813,2.633558531405406,5.0,6.7665524392407885,108.69843291679788,5.0,5.0
2016-01-20,2184.916773002594,10.554402591718528,1884.6341874972445,1156.9761528629965,50.73458807424049,96.59307816956446,15.465134418449447,2.618283194455469,5.0,6.758611382870839,109.47076184611132,5.0,5.0
2016-01-21,2146.109726237396,9.772968937451655,1863.9590728720252,1158.8596643983315,50.62973156941002,97.0269215745545,15.61980862522265,2.6755755560859553,5.0,6.786682106431456,109.34027948067755,5.0,5.0
2016-01-22,2111.8117140560107,8.774465838915775,1868.5280694671012,1168.5828070241523,50.580309764013016,96.36848443895434,15.49381724761577,2.638172734944128,5.0,6.805271568509884,110.41031870327893,5.0,5.0
2016-01-25,2101.261826188026,10.479954809867609,1867.2236001552958,1172.953272871257,50.223588602421906,96.14813926113924,15.660339810699893,2.6069732598337625,5.0,6.838222438913777,110.78769047950588,5.0,5.0
2016-01-26,2081.819072826639,10.565217861215023,1855.332676862253,1165.4559422750053,51.50402479753273,96.57667077191812,15.665331246726472,2.5971967171347456,5.0,6.871604031039806,110.98386268138633,5.0,5.0
2016-01-27,2088.6616342770476,10.540184706188356,1845.5852599228044,1184.787860785076,50.79473016142481,96.6059082767617,15.563697268903733,2.5956285075573806,5.0,6.861050994792788,110.66091020743195,5.0,5.0
2016-01-28,2071.4039407167134,7.907381924268808,1860.5201341300037,1186.6693874595053,50.088190216553606,96.07694368812773,15.686192339035715,2.6231055030586425,5.0,6.857476002623648,110.11112608751392,5.0,5.0
2016-01-29,2044.4186113559824,9.365139873369207,1849.967879173186,1185.488960186663,52.09985093757172,96.32456378392789,15.54367241271708,2.6368251415146746,5.0,6.849463024123919,110.35150061358725,5.0,5.0
2016-02-01,2073.3809482282736,7.937995287420537,1848.487075861552,1194.268263357544,53.066769312552836,95.98066887875359,15.669882808465466,2.6246917281691413,5.0,6.836285496897278,110.29222860281489,5.0,5.0
2016-02-02,2069.615843529028,8.530994468449002,1894.3354351358107,1196.6624362637217,50.67902753158764,96.89831792537461,15.713123259149784,2.621036552185889,5.0,6.799774175226062,109.59967115904409,5.0,5.0
2016-02-03,2071.593448132505,9.420510151963839,1864.1309555773082,1200.4162814711183,50.14167673868375,97.67277229807624,15.596317874722425,2.611866106634703,5.0,6.799980349989595,108.82524523919949,5.0,5.0
2016-02-04,2044.3620526694524,11.890472538123625,1825.357944816666,1223.1739988364598,48.428635758797675,97.9613655652925,15.701429847422276,2.5850888611979506,5.0,6.774769136365426,108.33764092223569,5.0,5.0
